prenom , date , fete_principale , rare

// Liste des fête du jour ne correpondant pas à des prénoms

"Christel" ;		24/07 ; 0 ; 1
"Christelle" ;		24/07 ; 0 ; 0
"Christian" ;		12/11 ; 1 ; 0
"Christiane" ;		24/07 ; 0 ; 0
"Christine" ;		24/07 ; 1 ; 0
"Christophe" ;		21/08 ; 1 ; 0
"Christopher" ;		21/08 ; 0 ; 1
"Claire" ;			11/08 ; 1 ; 0
"Clara" ;			11/08 ; 0 ; 0
"Clarence" ;		11/08 ; 0 ; 0
"Clarisse" ;		12/08 ; 1 ; 0
"Claude" ;			15/02 ; 1 ; 0
"Claudette" ;		15/02 ; 0 ; 0 ; ou le 06/06 ?
"Claudia" ;			15/02 ; 0 ; 0 ; ou le 06/06 ?
"Claudine" ;		03/02 ; 0 ; 0 ; ou le 15/02 ou le 06/06 ?
"Cléa" ;			xx/xx ; 0 ; 0
"Clémence" ;		21/03 ; 1 ; 0
"Clément" ;			23/11 ; 1 ; 0
"Clémentine" ;		23/11 ; 0 ; 0
"Cléo" ;			xx/xx ; 0 ; 0
"Clotaire" ;		07/04 ; 0 ; 1
"Clotilde" ;		04/06 ; 1 ; 0
"Clovis" ;			25/08 ; 0 ; 0
"Colas" ;			xx/xx ; 0 ; 1
"Colette" ;			06/03 ; 1 ; 0
"Colin" ;			06/12 ; 0 ; 0
"Côme" ;			26/09 ; 1 ; 0
"Constance" ;		xx/xx ; 0 ; 0 ; 23/09 ou 08/04 ?
"Constant" ;		23/09 ; 0 ; 0
"Constantin" ;		21/05 ; 1 ; 0
"Cora" ;			18/05 ; 0 ; 0
"Coralie" ;			18/05 ; 0 ; 0
"Coraline" ;		18/05 ; 0 ; 0
"Corentin" ;		12/12 ; 0 ; 0
"Corentine" ;		xx/xx ; 0 ; 1
"Corinne" ;			18/05 ; 0 ; 0
"Cosette" ;			xx/xx ; 0 ; 1
"Crépin" ;			25/10 ; 1 ; 0
"Cyprien" ;			16/09 ; 0 ; 0
"Cyrille" ;			18/03 ; 1 ; 0
"Cyrielle" ;		18/03 ; 0 ; 0
"Daisy" ;			16/11 ; 0 ; 0
"Damien" ;			26/09 ; 0 ; 0
"Daniel" ;			11/12 ; 1 ; 0
"Danielle" ;		11/12 ; 0 ; 0
"Daphné" ;			10/11 ; 0 ; 0
"Daphnée" ;			10/11 ; 0 ; 1
"Darius" ;			xx/xx ; 0 ; 1 ; 25/10
"David" ;			29/12 ; 1 ; 0
"Davy" ;			20/09 ; 1 ; 0
"Déborah" ;			21/09 ; 0 ; 0
"Delphine" ;		26/11 ; 1 ; 0
"Denis" ;			09/10 ; 1 ; 0
"Denise" ;			15/05 ; 1 ; 0
"Déodat" ;			xx/xx ; 0 ; 1
"Désiré" ;			08/05 ; 0 ; 0
"Dévote" ;			xx/xx ; 0 ; 1
"Diane" ;			09/06 ; 1 ; 0
"Didier" ;			23/05 ; 1 ; 0
"Diego" ;			13/11 ; 0 ; 0
"Dieudonné" ;		xx/xx ; 0 ; 1
"Dieudonnée" ;		xx/xx ; 0 ; 1
"Dimitri" ;			26/10 ; 1 ; 0
"Dolorès" ;			15/09 ; 0 ; 1
"Dominique" ;		08/08 ; 1 ; 0
"Domitille" ;		07/05 ; 0 ; 1
"Donald" ;			15/07 ; 1 ; 0
"Donatien" ;		24/05 ; 1 ; 0
"Donovan" ;			15/07 ; 0 ; 0
"Dorian" ;			09/11 ; 0 ; 0
"Doriane" ;			xx/xx ; 0 ; 0 ; 25/10
"Dorine" ;			xx/xx ; 0 ; 0 ; 9/11 ou 11/2 ?
"Dorothée" ;		06/02 ; 0 ; 0
"Dylan" ;			xx/xx ; 0 ; 0
"Edvige" ;			16/10 ; 0 ; 1
"Edwige" ;			16/10 ; 1 ; 0
"Edwin" ;			12/10 ; 0 ; 1
"Edgar" ;			08/07 ; 0 ; 0
"Edith" ;			16/09 ; 1 ; 0
"Edmond" ;			20/11 ; 1 ; 0
"Edouard" ;			05/01 ; 1 ; 0
"Églantine" ;		05/10 ; 0 ; 0
"Ekaterina" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Éléanor" ;			25/06 ; 0 ; 1
"Elena" ;			18/08 ; 0 ; 0
"Éléonore" ;		25/06 ; 0 ; 0
"Éléonor" ;			25/06 ; 0 ; 1
"Éléonora" ;		25/06 ; 0 ; 1
"Élia" ;			20/07 ; 0 ; 1
"Eliane" ;			xx/xx ; 0 ; 0 ; 04/07
"Élie" ;			20/07 ; 0 ; 1
"Eliette" ;			20/07 ; 0 ; 1
"Eline" ;			18/08 ; 0 ; 1
"Élinor" ;			25/06 ; 0 ; 1
"Elisabeth" ;		17/11 ; 1 ; 0
"Elise" ;			17/11 ; 0 ; 0
"Elisée" ;			14/06 ; 1 ; 0
"Ella" ;			01/02 ; 1 ; 0
"Élodie" ;			22/10 ; 1 ; 0
"Eloi" ;			01/12 ; 0 ; 0
"Eloïse" ;			xx/xx ; 0 ; 0 ; 15/03 ?
"Elora" ;			25/06 ; 0 ; 1
"Elouan" ;			28/08 ; 0 ; 1
"Elsa" ;			17/11 ; 0 ; 0
"Elvire" ;			16/07 ; 0 ; 1
"Émeline" ;			27/10 ; 1 ; 0
"Émelyne" ;			27/10 ; 0 ; 1
"Emeric" ;			04/11 ; 0 ; 1
"Émeric" ;			04/11 ; 0 ; 0
"Émile" ;			22/05 ; 1 ; 0
"Émilie" ;			19/09 ; 1 ; 0
"Émilien" ;			12/11 ; 0 ; 0
"Emma" ;			19/04 ; 1 ; 0
"Emmanuel" ;		25/12 ; 0 ; 0
"Emmanuelle" ;		25/12 ; 0 ; 0
"Emmeline" ;		27/10 ; 0 ; 1
"Enguerrand" ;		xx/xx ; 0 ; 1
"Enrique" ;			13/07 ; 0 ; 1
"Enzo" ;			13/07 ; 0 ; 0
"Eric" ;			18/05 ; 1 ; 0
"Ermine" ;			09/07 ; 0 ; 1
"Ernest" ;			07/11 ; 0 ; 1
"Ernestine" ;		07/11 ; 0 ; 1
"Erwan" ;			19/05 ; 0 ; 0
"Esther" ;			01/07 ; 0 ; 0
"Estelle" ;			11/05 ; 1 ; 0
"Etienne" ;			26/12 ; 1 ; 0
"Eudes" ;			19/08 ; 0 ; 1
"Eugène" ;			13/07 ; 0 ; 0
"Eugénie" ;			07/02 ; 1 ; 0
"Eulalie" ;			10/12 ; 0 ; 0
"Eusèbe" ;			xx/xx ; 0 ; 0
"Eva" ;				06/09 ; 0 ; 0
"Evan" ;			27/12 ; 0 ; 0
"Évangéline" ;		xx/xx ; 0 ; 0
"Eve" ;				06/09 ; 0 ; 0
"Évelyne" ;			06/09 ; 0 ; 0
"Evrard" ;			14/08 ; 1 ; 0
"Fabien" ;			20/01 ; 0 ; 0
